Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,MCA,21/05/2013,Vat On Rents,Asset Management,PICTON UK REIT LTD,559214,795,Rent In Advance 24/6/13-28/9/1,SO14 3TG
Department for Transport,MCA,21/05/2013,Surveyor Training,Human Resources,SOUTH TYNE SIDE COLLEGE,559132,785,Adv Firefight 7/5/13,NE34 6ET
Department for Transport,MCA,21/05/2013,Rent,Asset Management,LEWES DISTRICT COUNCIL,559180,750,Rent In Advance 24/6/13-28/9/1,BN7 2DQ
Department for Transport,MCA,21/05/2013,Vat On Rents,Asset Management,JOSHEWER LTD,559183,725,Rent In Advance 24/6/13-28/9/1,BH15 1HJ
Department for Transport,MCA,21/05/2013,Rent,Asset Management,CBRE LTD,559227,717.5,Rent In Advance 24/6/13-28/9/1,G2 6UA
Department for Transport,MCA,21/05/2013,Rent,Asset Management,ASHTENNE,559152,700,Rent In Advance 24/6/13-28/9/1,PR7 7NA
Department for Transport,MCA,21/05/2013,Rent,Asset Management,FRANK CONNOR,559198,700,Rent In Advance 1/6/13-30/6/13,DT3 4JB
Department for Transport,MCA,21/05/2013,Vat On Rents,Asset Management,COMMERCIAL PREOPERTY INVESTMENTS,559157,690,Rent In Advance 24/6/13-28/9/1,CO15 5AH
Department for Transport,MCA,21/05/2013,Vat On Rents,Asset Management,MIDWINTERS PROPERTIES LTD,559145,666,Rent In Advance 24/6/13-28/9/1,BH3 7HG
Department for Transport,MCA,21/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559199,646.34,Own Fleet Fuel May13,SN5 6PS
Department for Transport,MCA,21/05/2013,Uk Hire Car/Bus/Taxi/Park Etc,Information & Comms Technology,ALLSTAR BUSINESS SOLUTIONS LTD,559167,638.63,Tsm & Hire Car Fuel,SN5 6PS
Department for Transport,MCA,21/05/2013,Agency Staff,Shared Services,BADENOCH & CLARK,558993,611.42,W/E 10/05/13,W1T 5AE
Department for Transport,MCA,22/05/2013,Navtex Support Services,Information & Comms Technology,BT GLOBAL SERVICES,559364,"254,036.35",Annual Navtex May 2013,NW9 6LB
Department for Transport,MCA,22/05/2013,Rent,Asset Management,ABERDEEN HARBOUR BOARD,559328,"113,900.00",Rent May 13,AB11 5SS
Department for Transport,MCA,22/05/2013,Vat On Rents,Asset Management,ABERDEEN HARBOUR BOARD,559328,"22,780.00",Rent May 13,AB11 5SS
Department for Transport,MCA,22/05/2013,Rates/Cilor (In Lieu Of Rates,Asset Management,GOSPORT BOROUGH COUNCIL,559377,"15,779.00",Daedalus Rates June 2013,PO12 1ED
Department for Transport,MCA,22/05/2013,Rates/Cilor (In Lieu Of Rates,Asset Management,FAREHAM BOROUGH COUNCIL,559375,"14,130.00",Moc Rates For June2013,PO16 7AZ
Department for Transport,MCA,22/05/2013,Furn. & Fittings - Asset Reg,Asset Management,FLEXIFORM BUSINESS FURNITURE LTD.,559334,"13,812.96",Furniture,BD3 7AE
Department for Transport,MCA,22/05/2013,Reactive/Emerg Maint Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559331,"10,157.36",March Interim Submission 2013,G72 0FT
Department for Transport,MCA,22/05/2013,Rates/Cilor (In Lieu Of Rates,Asset Management,WEYMOUTH & PORTLAND B C,559376,"8,714.00",Portland Rates For June2013,DT4 8TA
Department for Transport,MCA,22/05/2013,Service Charges,Asset Management,SIEMENS BENEFIT SCHEME LTD,559309,"7,320.90",S/C In Advance 24/6/13-28/9/13,EC4M 7HP
Department for Transport,MCA,22/05/2013,Telecoms Pws,Information & Comms Technology,BRITISH TELECOMMUNICATIONS PLC,559371,"7,031.73",Bt Duf May 2013,DH98 1BT
Department for Transport,MCA,22/05/2013,Rent,Asset Management,NORTH DOWN BOROUGH COUNCIL,559316,"6,875.00",Rent 1/2 Yearly In Arr,BT20 4BT
Department for Transport,MCA,22/05/2013,Rent,Asset Management,SUTTON HARBOUR COMPANY,559304,"6,375.00",Rent In Advance 24/6/13-28/09/,PL4 ORA
Department for Transport,MCA,22/05/2013,Disposal Expired Pyrotechnics,Asset Management,RAMORA UK,559336,"4,086.00",Ramora Uk,PO6 4PY
Department for Transport,MCA,22/05/2013,Rates/Cilor (In Lieu Of Rates,Asset Management,WESTERN ISLES COUNCIL,559378,"3,438.00",Gaydon Rates June 2013,HS1 2BW
Department for Transport,MCA,22/05/2013,Rent,Asset Management,SALTERNS ESTATE TENBY,559311,"2,400.00",Rent In Advance 1/6/13-31/8/13,SA71 4JS
Department for Transport,MCA,22/05/2013,Rent,Asset Management,DUCHY OF CORNWALL,559303,"2,129.50",Rent In Advance 24/6/13-28/09/,TR21 0LS
Department for Transport,MCA,22/05/2013,Rent,Asset Management,J S SPURRELL,559242,"1,962.50",Rent In Advance 24/6/13-28/9/1,PL11 2EH
Department for Transport,MCA,22/05/2013,Rent,Asset Management,QUAY MARINAS LTD (PORTISHEAD SITE),559240,"1,890.00",Rent In Advance 24/6/13-28/9/1,BS20 7DF
Department for Transport,MCA,22/05/2013,Disposal Expired Pyrotechnics,Asset Management,RAMORA UK,559390,"1,778.40",Tep Poole Collection 21/5/13,PO6 4PY
Department for Transport,MCA,22/05/2013,Rent,Asset Management,HSP BUILDING LTD,559307,"1,750.00",Rent In Advance 24/6/13-23/09/,TQ9 5NJ
Department for Transport,MCA,22/05/2013,Service Charges,Asset Management,DTZ DTL (DEFRA),559313,"1,720.47",Fm Core Services 1/5/13-31/5/1,B2 2BT
Department for Transport,MCA,22/05/2013,Disposal Expired Pyrotechnics,Asset Management,RAMORA UK,559384,"1,514.40",Tep Solent Collection 21/5/201,PO6 4PY
Department for Transport,MCA,22/05/2013,Rent,Asset Management,M B AND  S A HALL,559241,"1,500.00",Rent In Advance 24/6/13-28/9/1,TQ7 1JR
Department for Transport,MCA,22/05/2013,Rent,Asset Management,NORTH AYRSHIRE COUNCIL,559323,"1,374.99",Rent 28/5/13-27/8/13,KA12 8DA
Department for Transport,MCA,22/05/2013,Vat On Rents,Asset Management,SUTTON HARBOUR COMPANY,559304,"1,275.00",Rent In Advance 24/6/13-28/09/,PL4 ORA
Department for Transport,MCA,22/05/2013,Rent,Asset Management,MOSTYN ESTATES LTD,559235,"1,250.00",Rent In Advance 25/6/13-29/09/,LL30 1YP
Department for Transport,MCA,22/05/2013,Rent,Asset Management,C PECKHAM,559310,"1,165.97",Rent In Advance 10/6/13-9/6/14,DG5 4PZ
Department for Transport,MCA,22/05/2013,Rent,Asset Management,GRAHAM & SIBBALD,559326,"1,000.00",Rent 28/5/13-27/8/13,AB10 1UQ
Department for Transport,MCA,22/05/2013,Rent,Asset Management,P LANGDON,559308,"1,000.00",Rent In Advance 24/6/13-23/06/,TR3 6LN
Department for Transport,MCA,22/05/2013,Reactive/Emerg Maint Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559381,938.7,Daed Reactive Works April 2013,G72 0FT
Department for Transport,MCA,22/05/2013,Rent,Asset Management,GRAHAM & SIBBALD,559327,787.5,Rent 28/5/13-27/8/13,AB10 1UQ
Department for Transport,MCA,22/05/2013,Rent,Asset Management,DTZ DTL (DEFRA),559312,729.46,Depreciation Charges 1/5/13-31,B2 2BT
Department for Transport,MCA,22/05/2013,Rent,Asset Management,J TAYLOR,559239,725,Rent In Advance 24/6/13-28/9/1,FY6 0EA
Department for Transport,MCA,22/05/2013,Rent,Asset Management,GWYNEDD COUNCIL,559237,612.5,Rent In Advance 24/6/13-28/9/1,LL55 1BN
Department for Transport,MCA,22/05/2013,Rent,Asset Management,THE CROWN ESTATE,559315,537.5,Rent Quart In Adv 28/5/13-27/0,PH1 5NE
Department for Transport,MCA,22/05/2013,Reactive/Emerg Maint Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559335,"-7,918.33",Reactive Maintenance,G72 0FT
Department for Transport,MCA,23/05/2013,Rates/Cilor (In Lieu Of Rates,Asset Management,SOUTHAMPTON CITY COUNCIL,559234,"44,745.00",National Non-Dom Rates - June,SO14 7FP
Department for Transport,MCA,23/05/2013,Other Prosecution Costs,Office Of Chief Executive,#,559345,"9,344.80",#,#
Department for Transport,MCA,23/05/2013,M&E Contracts,Asset Management,CARILLION PLANNED MAINTENANCE,559374,"8,095.91",Planned Service Works S/P - Ap,G72 0FT
Department for Transport,MCA,23/05/2013,Other Prosecution Costs,Office Of Chief Executive,#,559347,"3,219.00",#,#
Department for Transport,MCA,23/05/2013,Other Prosecution Costs,Office Of Chief Executive,#,559349,"2,116.82",#,#
Department for Transport,MCA,23/05/2013,Water & Sewage,Asset Management,SOUTHERN WATER,559122,"1,602.57",Water Charges S/P - May 2013,BN13 3NZ
Department for Transport,MCA,23/05/2013,Prop Consultants Lump Sum Fees,Asset Management,PARSONS BRINCKERHOFF Ltd,559355,"1,544.00",M&E Frm Works 2012-13,NE4 7YQ
Department for Transport,MCA,23/05/2013,Other Prosecution Costs,Office Of Chief Executive,#,559348,"1,266.00",#,#
Department for Transport,MCA,23/05/2013,Other Telecom Equipment Rental,Business Delivery (Survey & Inspection),SERVO LIMITED,559354,737.71,Hardware Maint 1/6/13-9/6/14,WF17 9LU
Department for Transport,MCA,23/05/2013,Cycle Scheme Expense,Human Resources,CYCLESCHEME LTD,559391,584.95,Bike And Equip,BA1 1WX
Department for Transport,MCA,23/05/2013,Machinery Rental,Asset Management,RICOH UK Ltd,559179,563.79,Post Rm  1/2-30/4/13 Rent 1/5-,NN4 7YB
Department for Transport,MCA,24/05/2013,M&E Contracts,Asset Management,CARILLION PLANNED MAINTENANCE,559407,"20,565.29",Service 1-30/4/13 Western Regi,G72 0FT
Department for Transport,MCA,24/05/2013,M&E Contracts,Asset Management,CARILLION PLANNED MAINTENANCE,559406,"9,270.67",March 13 Year End Submission,G72 0FT
Department for Transport,MCA,24/05/2013,Expense Of Childcare,Human Resources,COMPUTERSHARE VOUCHER SERVICES,559431,"7,104.38",Childcare Vouchers,WS13 8SX
Department for Transport,MCA,24/05/2013,Planned Maintenance Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559404,"6,459.06",Interim Fmr Invoice Western,G72 0FT
Department for Transport,MCA,24/05/2013,Call Charges,HM Coastguard,BRITISH TELECOM,559394,"6,058.70",Milford Haven Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Call Charges,HM Coastguard,BRITISH TELECOM,559394,"5,255.42",Swansea Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Planned Maintenance Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559405,"5,237.10",Monkstone/St Agnes L8 Risk Ass,G72 0FT
Department for Transport,MCA,24/05/2013,Call Charges,HM Coastguard,BRITISH TELECOM,559394,"4,218.72",Falmouth Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Call Charges,HM Coastguard,BRITISH TELECOM,559394,"3,923.80",Liverpool  Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Commercial File Storage,Corporate Developments,TNT UK LIMITED,559451,"3,886.57",File Storage Programme Mar 13,BL8 9AR
Department for Transport,MCA,24/05/2013,Contract Cleaning,Asset Management,ISS FS LIMITED MIDLANDS,559428,"2,648.04",Cleaning Services May 13,B37 7YB
Department for Transport,MCA,24/05/2013,Call Charges,HM Coastguard,BRITISH TELECOM,559394,"2,371.85",Holyhead Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Call Charges,HM Coastguard,BRITISH TELECOM,559394,"1,791.92",Brixham Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Call Charges,Business Delivery (Survey & Inspection),BRITISH TELECOM,559394,"1,790.30",Plymouth Mo Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Telecoms Pws,Information & Comms Technology,BT CONFERENCE CALL CUSTOMER ACCOUNTS,559426,"1,571.45",Duplicate Credit On System,NW9 6LB
Department for Transport,MCA,24/05/2013,Agency Staff,Finance,VENN GROUP LTD,559422,"1,515.78",W/E 19/5/13,WC2R 0AA
Department for Transport,MCA,24/05/2013,Printing,Office Of Chief Executive,EC GROUP LTD,559456,"1,357.42",2 Sets Of M Notices,RM20 4DN
Department for Transport,MCA,24/05/2013,Planned Maintenance Under #5k,Human Resources,CARILLION PLANNED MAINTENANCE,559441,"1,326.82",March 123 Year End Submission,G72 0FT
Department for Transport,MCA,24/05/2013,M&E Contracts,Human Resources,CARILLION PLANNED MAINTENANCE,559403,"1,287.12",1-30/4/13 Highcliffe,G72 0FT
Department for Transport,MCA,24/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559463,"1,142.79",Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,24/05/2013,Commercial File Storage,Corporate Developments,TNT UK LIMITED,559451,971.64,File Storage Admin Mar 13,BL8 9AR
Department for Transport,MCA,24/05/2013,Planned Maintenance Under #5k,Human Resources,CARILLION PLANNED MAINTENANCE,559402,966.9,Water Hygiene Survey 11/4/13,G72 0FT
Department for Transport,MCA,24/05/2013,Maint/Repair Cg Boats,Asset Management,SURVITEC SERVICES & DISTRIBUTION LTD,559460,899.27,Service Eurocraft 361700,DN37 9TZ
Department for Transport,MCA,24/05/2013,Contract Cleaning,Asset Management,OCS GROUP UK LIMITED T/A CANNON,559436,898.97,Lease,LA3 3BJ
Department for Transport,MCA,24/05/2013,Safety Testing Of Rescue Equip,Asset Management,HIRE STATION LTD,559462,892.76,Repair Xam2000 Meter X 4,NG10 3FZ
Department for Transport,MCA,24/05/2013,Overseas Hotel Accommodation,Business Improvement & Assurance,,279085,867.78,Red Ensign Group Conference,#
Department for Transport,MCA,24/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559490,851.71,Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,24/05/2013,Contract Cleaning,Asset Management,SUPACLEEN LTD,559410,755.21,Hire Of Sani Bins Cleaning,CF11 8DL
Department for Transport,MCA,24/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559473,723.69,Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,24/05/2013,Printing,Office Of Chief Executive,EC GROUP LTD,559455,722.39,1 Set Of M-Notices,RM20 4DN
Department for Transport,MCA,24/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559472,632.35,Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,24/05/2013,Call Charges,Business Delivery (Survey & Inspection),BRITISH TELECOM,559394,623.57,Cardiff Mo Phone,DH98 1BT
Department for Transport,MCA,24/05/2013,Purchase Coast Rescue Equip,Asset Management,CFM SERVICES,559458,573.12,Razor Hand Torch X 24,GL12 7JH
Department for Transport,MCA,24/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559469,568.53,Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,24/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559471,530.59,Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,24/05/2013,Uk Own Car Use Mileage,HM Coastguard,,279089,514.8,Watch Keeping @ Liverpool,#
Department for Transport,MCA,24/05/2013,Planned Maintenance Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559408,-521.2,Disagree Jobs Invoice 21242893,G72 0FT
Department for Transport,MCA,24/05/2013,Commercial File Storage,Corporate Developments,TNT UK LIMITED,559450,-971.64,File Storage Admin March 13,BL8 9AR
Department for Transport,MCA,24/05/2013,Commercial File Storage,Corporate Developments,TNT UK LIMITED,559450,"-3,886.57",File Store Mar 13 Programme,BL8 9AR
Department for Transport,MCA,29/05/2013,M&E Contracts,Asset Management,CARILLION PLANNED MAINTENANCE,559483,"22,334.08",Reactive E& Extra Work April 13,G72 0FT
Department for Transport,MCA,29/05/2013,M&E Contracts,Asset Management,CARILLION PLANNED MAINTENANCE,559482,"19,429.04",Planned Service Work 1-30/4/13,G72 0FT
Department for Transport,MCA,29/05/2013,Reactive/Emerg Maint Under #5k,Asset Management,CARILLION PLANNED MAINTENANCE,559485,"17,743.06",Reactive & Extra Work April 13,G72 0FT
Department for Transport,MCA,29/05/2013,Prop Consultants Lump Sum Fees,Asset Management,PARSONS BRINCKERHOFF Ltd,559480,"12,158.40",Professional Fees Oct12-Apr 13,NE4 7YQ
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559690,"11,018.66",Owned Fleet Mtce Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559689,"10,642.38",Owned Fleet Mtce Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559688,"6,525.26",Owned Fleet Mtce Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,Press And Monitoring,Office Of Chief Executive,KANTAR MEDIA INTELLIGENCE LTD,559188,"4,781.40",Media Evaluation Custom Domest,EC2A 2JX
Department for Transport,MCA,29/05/2013,Storage And Distribution,Office Of Chief Executive,EC GROUP LTD,559475,"3,876.44",Fulfillment Activity April 13,RM20 4DN
Department for Transport,MCA,29/05/2013,Contract Cleaning,Asset Management,SPECIAL SPARKLE,559663,"1,378.70",Office Cleaning April 2013,CO13 0JB
Department for Transport,MCA,29/05/2013,Waste Disp/Refuse Collection,Asset Management,A MCCOURT,559640,"1,230.56",Clean Holyhead 29/4-25/5/13,LL65 2EP
Department for Transport,MCA,29/05/2013,Surveyor Training,Human Resources,SOUTH TYNE SIDE COLLEGE,559675,875,Senior Marine &,NE34 6ET
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559688,822.6,Owned Fleet Mgt Ch Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559689,771.42,Owned Fleet Mgt Ch Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,T&S Advances,Human Resources,,279195,717,Attend T/C Secondment,#
Department for Transport,MCA,29/05/2013,Agency Staff,Shared Services,BADENOCH & CLARK,559643,713.33,W/E 17/05/13,W1T 5AE
Department for Transport,MCA,29/05/2013,Purchase Coast Rescue Equip,Asset Management,ST JOHN AMBULANCE,559191,684,Basket Stretcher X 2,S8 0XN
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559690,671.94,Owned Fleet Mgt Ch Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,Maint/Repair Cg Vehicles,Asset Management,INCHCAPE FLEET SOLUTIONS,559690,666.66,Owned Fleet Mtce Apr 13,PO6 4RP
Department for Transport,MCA,29/05/2013,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,559686,628.71,Own Fleet Fuel May 13,SN5 6PS
Department for Transport,MCA,29/05/2013,Safety Testing Of Rescue Equip,Asset Management,C.H. MARINE (NI) LTD,559683,515.83,Safety Testing Lifejackets,BT23 4YH
Department for Transport,MCA,30/05/2013,Telecoms Pws,Information & Comms Technology,BT GLOBAL SERVICES,559674,"131,462.78",Bt Wan May 2013,NW9 6LB
Department for Transport,MCA,30/05/2013,Computer Hardware - Asset Reg,Information & Comms Technology,CAIP LTD,559679,"45,600.00",2nd Stage Payment Daedalus,WA4 5LS
Department for Transport,MCA,30/05/2013,Rent,Asset Management,CONWY COUNTY BOROUGH COUNCIL,559755,"-4,090.00",Refund Dup Payment Rent,LL32 8DU
Department for Transport,MCA,31/05/2013,Civil Hydrographic Work,Navigation Safety,NET SURVEY Ltd,559768,"301,238.40",Dwr Off Brown Ridge,OX16 2SB
Department for Transport,MCA,31/05/2013,Civil Hydrographic Work,Navigation Safety,NET SURVEY Ltd,559767,"179,305.00",Approaches To Humber,OX16 2SB
Department for Transport,MCA,31/05/2013,Helicopters - Royal Navy,Asset Management,MINISTRY of DEFENCE & PUBLIC SUB ACCOUNT,559165,"66,308.50",Prestwick Charges Apr 13,L2 3YL
Department for Transport,MCA,31/05/2013,Planned Maintenance Under #5k,Human Resources,CARILLION PLANNED MAINTENANCE,559753,"3,118.32",Reactive Work April 2013,G72 0FT
Department for Transport,MCA,31/05/2013,Supplies,Asset Management,VISUAL IMPULSE LTD,559447,"1,159.00",Names & Parts For Fire/F Aid B,BH12 5BT
Department for Transport,MCA,31/05/2013,Dispersant Storage & Maint,HM Coastguard,M LARGE TREE SERVICES LTD,559652,994,Storage Cost For May 13,BT36 6DH
Department for Transport,MCA,31/05/2013,Overseas Hotel Accommodation,Maritime Services Bu,,279213,717,Attend Reg Conference,#
Department for Transport,MCA,31/05/2013,Uk Own Car Use Mileage,Business Delivery (Survey & Inspection),,279241,682.35,"Various Surveys Etc.,",#
Department for Transport,MCA,31/05/2013,Reactive/Emerg Maint Under #5k,Asset Management,PARSONS BRINCKERHOFF Ltd,559764,600,Spring Place 4th Contract Ext.,NE4 7YQ
Department for Transport,VOSA,22/05/2013,Accomm - Cash Collection Services,Finance Estates and Performance,POST OFFICE LTD,855492,"4,765.20",CASH IN TRANSIT SERVICE,BL4 9XX
Department for Transport,VOSA,02/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,BRITISH GAS SERVICES (COMMERCIAL) LIMITED,850802,674.34,REPLACEMENT OF GAS VALVE FOR BOILER AT CHELMSFORD GVTS,S60 1BY
Department for Transport,VOSA,02/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,HAG SHUTTERS AND GRILLES LTD,850805,"1,673.76",ROLLER SHUTTER DOOR REPAIRS - BERKELEY HOUSE ANNEXE,BS5 7UY
Department for Transport,VOSA,08/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,ADSM PLC,852012,131.2,",Value Added Tax - line level",SL4 6AF
Department for Transport,VOSA,08/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,ADSM PLC,852012,656,",Leak detection @ Peterborough",SL4 6AF
Department for Transport,VOSA,08/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,JAMIESONS LTD,852014,112.4,",Value Added Tax - line level",NG10 4QE
Department for Transport,VOSA,08/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,JAMIESONS LTD,852014,562,",Repairs to radiator pipework @ Watnall",NG10 4QE
Department for Transport,VOSA,08/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,4 FORCES SECURITY LTD,852028,"1,095.00",",Security patrols @ Birmingham March 2013",BN11 2BW
Department for Transport,VOSA,08/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,4 FORCES SECURITY LTD,852028,219,",Value Added Tax - line level",BN11 2BW
Department for Transport,VOSA,15/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,PICKFORDS BUSINESS SOLUTIONS,853595,841.2,RELOCATION OF BRICK HUT AND MAIN OFFICE,NW10 0TG
Department for Transport,VOSA,22/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,NEWTECH (ELECTRICAL) LIMITED,855488,"1,524.00",ELECTRICAL WORKS CARRIED OUT 10-13 MAY GILLINGHAM GVTS,BN11 2BW
Department for Transport,VOSA,30/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,ESM POWER LTD,857618,130.6,",Value Added Tax - line level",DN17 2RU
Department for Transport,VOSA,30/05/2013,Accomm - Emergency Reactive Maintenance,Finance Estates and Performance,ESM POWER LTD,857618,653,",ANNUAL INSPECTION OF SUBSTATION  - NOTTINGHAM GVTS",DN17 2RU
Department for Transport,VOSA,01/05/2013,Accomm - Grounds Maintenance,Finance Estates and Performance,JB LANDSCAPES,850320,600,YEARLY TREE PRUNING AT BERKELEY HOUSE - INCLUDING LABOUR AND SHREDDER HIRE,BS16 3DQ
Department for Transport,VOSA,14/05/2013,Accomm - Grounds Maintenance,Finance Estates and Performance,NORTHFIELD GARDEN MAINTENANCE,853548,300,"VOSAPO7124,Grounds Maintenance at Ainley Top Weighbridge 2X 6 monthly intervals approx April & October2013  PLEASE SEND INVOICE TO FINANCE AT SWANSEA QUOTNG THE ABOVE PURCHASE ORDER",S9 1JX
Department for Transport,VOSA,14/05/2013,Accomm - Grounds Maintenance,Finance Estates and Performance,NORTHFIELD GARDEN MAINTENANCE,853548,300,"VOSAPO7124,Grounds Maintenance at Boston Spa Weighbridge 2X 6 monthly intervals approx April & October 2013.  PLEASE SEND INVOICE TO FINANCE AT SWANSEA QUOTNG THE ABOVE PURCHASE ORDER",S9 1JX
Department for Transport,VOSA,16/05/2013,Accomm - Grounds Maintenance,Vehicle Testing,INDUSERV LIMITED,854085,822,GROUNDS MAINTENANCE,IP23 7DR
Department for Transport,VOSA,22/05/2013,Accomm - Grounds Maintenance,Finance Estates and Performance,THE SYNDICATE OF HORTICULTURE LTD,855436,509.84,RAKING OF LEAVES AND REMOVAL AT BEVERLEY GVTS,HU9 3EU
Department for Transport,VOSA,23/05/2013,Accomm - Grounds Maintenance,Finance Estates and Performance,OCS GROUP UK LTD,856283,218.04,"VOSAPO7415,Office cleaning external grounds maintenance and provision of consumables monthly - PROPERTY CODE ETS036 - INVERNESS HGVTS - AREA 02",SE1 9WP
Department for Transport,VOSA,29/05/2013,Accomm - Grounds Maintenance,Finance Estates and Performance,ISS WATERERS LANDSCAPE,856841,565.2,GRASS CUTTING - YEADING GVTS,GU21 5RW
Department for Transport,VOSA,15/05/2013,Accomm - Hygiene Services,Finance Estates and Performance,CHEW VALLEY HIRE LTD,854019,590,",Hire static toilet unit for Tormarton 24/03/13-28/04/13",BS40 6NQ
Department for Transport,VOSA,15/05/2013,Accomm - Hygiene Services,Finance Estates and Performance,CHEW VALLEY HIRE LTD,854019,118,",Value Added Tax - line level",BS40 6NQ
Department for Transport,VOSA,16/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,VEALE WASBROUGH VIZARDS,854450,360,",Value Added Tax - line level",BS1 5WS
Department for Transport,VOSA,16/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,VEALE WASBROUGH VIZARDS,854450,"1,866.00",",Sale of T/S Simonswood for 31/01/13-26/04/13",BS1 5WS
Department for Transport,VOSA,17/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,DOWNEND ELECTRICS LTD,854738,"4,353.60","VOSAPO7387,Poole & Exeter GVTS Additional Power & Data as per quotation",BS5 7BU
Department for Transport,VOSA,20/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,ALLSIGNS,854765,557.42,GUILDFORD-CLOSURE WORKS,KT11 1NH
Department for Transport,VOSA,20/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,MORRIS & SPOTTISWOOD LTD,854809,"149,994.06",CLOSURE WORKS-BISHOPBRIGGS,G51 3HQ
Department for Transport,VOSA,21/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,P THORNE & SON LTD,855418,115,",Value Added Tax - line level",BS1 2BB
Department for Transport,VOSA,21/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,P THORNE & SON LTD,855418,575,",Collect safe from Taunton GVTS deliver to Exeter GVTS",BS1 2BB
Department for Transport,VOSA,29/05/2013,Accomm - Major Maint Works Estates TTP Cost,Finance Estates and Performance,EC HARRIS LLP,856857,"9,299.63",REFURBISHMENT WORKS OF TEST CENTRES - BISHOPBRIGGS & LIVINGSTONE,M60 3NT
