Department Family,Entity,Date,Expense Type,Expense Area Rev,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,MCA,23/10/2014,Furn. & Fittings - Asset Reg,Asset Management,SENATOR INTERNATIONAL LTD,594042,32672.64,85x Dash Chairs - W/O 00673381,BB5 5YE
Department for Transport,MCA,23/10/2014,Furn. & Fittings - Asset Reg,Asset Management,SENATOR INTERNATIONAL LTD,594045,19666.56,80x Dash Chairs - W/O 00674044,BB5 5YE
Department for Transport,MCA,23/10/2014,Furn. & Fittings - Asset Reg,Asset Management,SENATOR INTERNATIONAL LTD,594048,14961.22,W/O 00666221 - Benches Etc.,BB5 5YE
Department for Transport,MCA,23/10/2014,Comp S/Ware - Non-Asset Reg,Information & Comms Technology,SOFTWARE BOX LTD,594612,2952.79,Software Various Po Mca 136/14,YO61 1ET
Department for Transport,MCA,23/10/2014,Rates/Cilor (In Lieu Of Rates,Asset Management,SOUTHAMPTON CITY COUNCIL,594618,45790,National Non-Dom Rates - Novem,SO14 7LY
Department for Transport,MCA,23/10/2014,Plan/Install Of Cg Telecoms,Information & Comms Technology,SYSTEMS UP,594599,14116.97,Sept 23 Days + Expenses,SE1 8UL
Department for Transport,MCA,23/10/2014,Telecoms Pws,Information & Comms Technology,VODAFONE MC MOBILE SERVICES,594533,13426,Gsi Network Q3 2014 Prepayment,RG14 5FF
Department for Transport,MCA,23/10/2014,Travel Standing (Pers) Imprest,Business Delivery (Survey & Inspection),,298892,500,Imprest,#
Department for Transport,MCA,24/10/2014,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,594670,2602.31,Own Fleet Fuel Oct 14,SN5 6PS
Department for Transport,MCA,24/10/2014,Fuel/Oil Cg Vehicles,Asset Management,ALLSTAR BUSINESS SOLUTIONS LTD,594671,1476.61,Own Fleet Fuel Oct 14,SN5 6PS
Department for Transport,MCA,24/10/2014,Electricity,Asset Management,BRITISH GAS BUSINESS - GAS/ELETRIC INVOICES,594652,9915.68,Electric Bill Wales west,GU95 1AW
Department for Transport,MCA,24/10/2014,Corporate Travel Contracts,Finance,ENTERPRISE RENT-A-CAR,594682,20507.32,Car Hire September,TW20 9JY
Department for Transport,MCA,24/10/2014,Purchase Coast Rescue Equip,Asset Management,LYON EQUIPMENT LTD,594680,589.44,Rope Clamp X 10,CA10 3SS
Department for Transport,MCA,24/10/2014,Purchase Coast Rescue Equip,Asset Management,LYON EQUIPMENT LTD,594687,565.67,Cg Equipment,CA10 3SS
Department for Transport,MCA,24/10/2014,Helicopters - Royal Navy,Asset Management,MINISTRY of DEFENCE & PUBLIC SUB ACCOUNT,594660,15781.25,#,L2 3YL
Department for Transport,MCA,24/10/2014,Civil Hydrographic Work,Navigation Safety,MMT (UK) LTD,594650,118242,Hi1455 Eddystone Rock Lizard,OX16 2SB
Department for Transport,MCA,24/10/2014,Agency Staff,Shared Services,NETWORKERS RECRUITMENT SERVICES LTD,594656,1614.38,P/E 12/10/14,BR1 1HP
Department for Transport,MCA,24/10/2014,Agency Staff,Shared Services,NETWORKERS RECRUITMENT SERVICES LTD,594657,804.07,P/E 12/10/14,BR1 1HP
Department for Transport,MCA,24/10/2014,Filming & Photography,Office Of Chief Executive,SOFTWARE BOX LTD,594653,10800,Helicopter Project,YO61 1ET
Department for Transport,MCA,24/10/2014,Agency Staff,Shared Services,SPRING TECHNOLOGY,594654,2054.34,W/E 14/9/14,EC4Y 8AX
Department for Transport,MCA,24/10/2014,Agency Staff,Shared Services,SPRING TECHNOLOGY,594655,2333.1,W/E 14/09/14,EC4Y 8AX
Department for Transport,MCA,24/10/2014,Travel Standing (Pers) Imprest,Business Delivery (Survey & Inspection),#,298952,600,Imprest 20/10/14,#
Department for Transport,MCA,27/10/2014,Other Services For Seafarers,Ship Standards,LLOYD'S REGISTER EMEA,594739,5500,Fobas-Ex/25032013 May 2013,SO14 2AQ
Department for Transport,MCA,28/10/2014,Rent,Asset Management,ARQIVA SERVICES Ltd,594741,8223,Rent 1/10/14-31/10/15,CV34 6DD
Department for Transport,MCA,28/10/2014,Rent,Asset Management,ARQIVA SERVICES Ltd,594743,573,Electricity Annual Fee,CV34 6DD
Department for Transport,MCA,28/10/2014,Vat On Rents,Asset Management,ARQIVA SERVICES Ltd,594741,1644.6,Rent 1/10/14-31/10/15,CV34 6DD
Department for Transport,MCA,28/10/2014,Disposal Expired Pyrotechnics,Asset Management,EPC-UK EDSL,594747,991.2,Collection From Mrcc Brixham,CO12 5JW
Department for Transport,MCA,28/10/2014,Disposal Expired Pyrotechnics,Asset Management,EPC-UK EDSL,594747,2090.4,Collection From Mrcc Falmouth,CO12 5JW
Department for Transport,MCA,28/10/2014,Uniforms - Regular,Asset Management,MILLER RAYNER LTD,594751,9528.96,Uniform Items,SO14 3EW
Department for Transport,MCA,28/10/2014,Rent,Asset Management,RODEL CROFTING LANDS LTD,594744,3000,Rent Ann In Adv 1/10/14-30/09/,HS5 3TW
Department for Transport,MCA,28/10/2014,Rent,Asset Management,RODEL CROFTING LANDS LTD,594745,3626.9,Ll'S Bt Site Share Rent,HS5 3TW
Department for Transport,MCA,28/10/2014,Rent,Asset Management,RODEL CROFTING LANDS LTD,594746,937.62,Ll'S Vodafone Site Share 1/4/1,HS5 3TW
Department for Transport,MCA,29/10/2014,Plan/Install Of Cg Telecoms,Information & Comms Technology,ARQIVA,594828,11399.94,Sept 14 150 Hours,SO21 2QA
Department for Transport,MCA,29/10/2014,Plan/Install Of Cg Telecoms,Information & Comms Technology,ARQIVA,594829,16495.2,Sept 14 145,SO21 2QA
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,ARQIVA,594830,12266.32,Sept 14  131.5 H,SO21 2QA
Department for Transport,MCA,29/10/2014,Computer Hardware - Asset Reg,Information & Comms Technology,BAE SYSTEMS SURFACE SHIPS LTD,594903,62409.55,Capital Costs Cgoc Installation,PO1 9NW
Department for Transport,MCA,29/10/2014,Plan/Install Of Cg Telecoms,Information & Comms Technology,BAE SYSTEMS SURFACE SHIPS LTD,594903,7097.96,Programme Works Bae Variable,PO1 9NW
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,BRITISH TELECOMMUNICATIONS PLC,594823,3690,Rental Charges 1/10-30/10/14,DH98 1BT
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,BRITISH TELECOMMUNICATIONS PLC,594824,21451.6,Duf October 2014,DH98 1BT
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,BRITISH TELECOMMUNICATIONS PLC,594825,4006.74,Mca Broadband Oct 2014,DH98 1BT
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,BRITISH TELECOMMUNICATIONS PLC,594826,1602.99,Rental Charges Oct 14,DH98 1BT
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,BT GLOBAL SERVICES,594827,64869.61,Wan Il3 Oct 14,NW9 6LB
Department for Transport,MCA,29/10/2014,Comp H/Ware - Non-Asset Reg,Information & Comms Technology,I B M UNITED KINGDOM LTD,594900,908.11,Node canister - Ibm,PO6 3AE
Department for Transport,MCA,29/10/2014,Telecoms Pws,Information & Comms Technology,KCOM GROUP PLC,594820,2055.6,Kingston Comms 01/10/14-30/09/,HU1 3RE
Department for Transport,MCA,29/10/2014,Agency Staff,Information & Comms Technology,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,594832,836.94,We 12/10/14   5 Days,ST1 5UB
Department for Transport,MCA,29/10/2014,Computer Hardware - Asset Reg,Information & Comms Technology,MISCO CO UK,594868,9518.81,Network  Att Storage,NN8 6GS
Department for Transport,MCA,29/10/2014,Royal Mail,HM Coastguard,ROYAL MAIL,593374,-944.4,Credit  Coll Fees 30/06/14,BL4 9XX
Department for Transport,MCA,29/10/2014,Software Maintenance,Information & Comms Technology,SOFTWARE BOX LTD,594835,1025.74,Ctms Sub Fees Aug 14,YO61 1ET
Department for Transport,MCA,29/10/2014,Agency Staff,Office Of Chief Executive,SPRING TECHNOLOGY,594848,719.93,W/E 12/10/14,EC4Y 8AX
Department for Transport,MCA,29/10/2014,Computer Hardware - Asset Reg,Information & Comms Technology,SYSTEMS UP,594831,25412.4,Interim Tel Solution Sept 14,SE1 8UL
Department for Transport,MCA,30/10/2014,Technical Training,Human Resources,BLACKPOOL & THE FYLDE COLLEGE,594898,6000,Distance Learning Fees 24 C/G,FY2 0HB
Department for Transport,MCA,30/10/2014,Electricity,Human Resources,BRITISH GAS BUSINESS - GAS/ELETRIC INVOICES,594976,2178.12,Electric Charge 02/09-01/10,GU95 1AW
Department for Transport,MCA,30/10/2014,Telecoms Pws,Information & Comms Technology,BRITISH TELECOMMUNICATIONS PLC,594960,1872,Smartnet Subscription Sept 14,DH98 1BT
Department for Transport,MCA,30/10/2014,Agency Staff,Shared Services,CAPITA BUSINESS SERVICES LTD,594991,2043.48,W/Es 4-11/10/14,DL1 9HN
Department for Transport,MCA,30/10/2014,Helicopters - Lee On Solent,Asset Management,CHC SCOTIA LTD,595012,696.16,#,AB21 0GL
Department for Transport,MCA,30/10/2014,Helicopters - Lee On Solent,Asset Management,CHC SCOTIA LTD,595012,1085.93,#,AB21 0GL
Department for Transport,MCA,30/10/2014,Helicopters - Lee On Solent,Asset Management,CHC SCOTIA LTD,595012,2144.1,#,AB21 0GL
Department for Transport,MCA,30/10/2014,Helicopters - Portland,Asset Management,CHC SCOTIA LTD,595011,556.92,#,AB21 0GL
Department for Transport,MCA,30/10/2014,Helicopters - Portland,Asset Management,CHC SCOTIA LTD,595011,2088.46,#,AB21 0GL
Department for Transport,MCA,30/10/2014,Agency Staff,Technical Performance,CLUETT REEVE LTD,594911,678.07,W/E 12/10/14,SO31 7GH
Department for Transport,MCA,30/10/2014,Agency Staff,Technical Performance,CLUETT REEVE LTD,594931,669.16,W/E 5/10/14,SO31 7GH
Department for Transport,MCA,30/10/2014,Gas,Asset Management,CORONA ENERGY,594923,606.78,Blaikies Quay Sep-Oct 14,WD17 1JW
Department for Transport,MCA,30/10/2014,"Courier Costs, Non Royal Mail",Seafarer Services,CORPORATE EXPRESS COURIERS,594943,26548.81,17/07/14 Glasgow Parcels,SO50 4NT
Department for Transport,MCA,30/10/2014,Non-Technical Training,Human Resources,HEALTH & SAFETY LABORATORY,594901,675,Wellbeing 11-12/11,S3 7HQ
Department for Transport,MCA,30/10/2014,Safetynet Nav Warnings,Navigation Safety,INMARSAT SOLUTIONS (CANADA) INC,594910,1536.16,Ship-Shore,SE1 9DZ
Department for Transport,MCA,30/10/2014,Technical Advice,Office Of Chief Executive,#,594867,5000,Prep/Chair Imo/Itu Joint Exper,#
Department for Transport,MCA,30/10/2014,Agency Staff,Information & Comms Technology,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,595009,836.94,We 19/10/14,ST1 5UB
Department for Transport,MCA,30/10/2014,Agency Staff,Information & Comms Technology,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,595010,836.94,We 26/10/14,ST1 5UB
Department for Transport,MCA,30/10/2014,Purchase Coast Rescue Equip,Asset Management,LYON EQUIPMENT LTD,595005,1441.8,Headlamps,CA10 3SS
Department for Transport,MCA,30/10/2014,Non-Technical Training,Human Resources,OXFORD SAID BUSINESS SCHOOL LTD,594896,8333.33,Project Leadership,OX1 5NY
Department for Transport,MCA,30/10/2014,Agency Staff,Shared Services,REED EMPLOYMENT PLC,594990,827.45,W/E 10/10/14,SW20 0BA
Department for Transport,MCA,30/10/2014,Agency Staff,Shared Services,SPRING TECHNOLOGY,594934,1643.47,W/E 21/09/14,EC4Y 8AX
Department for Transport,MCA,30/10/2014,Agency Staff,Shared Services,SPRING TECHNOLOGY,594935,2333.1,W/E 28/09/14,EC4Y 8AX
Department for Transport,MCA,30/10/2014,Agency Staff,Shared Services,SPRING TECHNOLOGY,594936,2054.34,W/E 28/09/14,EC4Y 8AX
Department for Transport,MCA,30/10/2014,Agency Staff,Shared Services,SPRING TECHNOLOGY,594933,2054.34, W/E 28/09/14,EC4Y 8AX
Department for Transport,MCA,30/10/2014,Agency Staff,Finance,VENN GROUP LTD,594989,1637.94,W/E 19/10/14,WC2R 0AA
Department for Transport,MCA,30/10/2014,Uk Hotel Accommodation,Human Resources,WALPOLE BAY HOTEL,594971,5591.67,Hotel & Conference Facilities,CT9 2JJ
Department for Transport,MCA,30/10/2014,Books And Publications,Ship Standards,WARSASH NAUTICAL BOOKSHOP,594988,720,Solas Consolidated Edition 14,SO31 9HZ
Department for Transport,MCA,31/10/2014,Agency Staff,Technical Performance,CLUETT REEVE LTD,595013,528.5,W/E07/09,SO31 7GH
Department for Transport,MCA,31/10/2014,Expense Of Childcare,Human Resources,COMPUTERSHARE VOUCHER SERVICES,594932,7513.96,Childcare Vouchers 29/10/14,WS13 8SX
Department for Transport,MCA,31/10/2014,Cycle Scheme Expense,Human Resources,CYCLESCHEME LTD,594962,1000,Bikes & Other Equipment,BA1 1WX
Department for Transport,MCA,31/10/2014,Civil Hydrographic Work,Navigation Safety,GARDLINE GEOSURVEYS LTD,594945,45754.2,Hi427 Mv Vigilant/ Titan Endea,NR30 3NG
Department for Transport,MCA,31/10/2014,Civil Hydrographic Work,Navigation Safety,GARDLINE GEOSURVEYS LTD,594946,45754.2,H1427 Mv Vigilant/Titan Endeav,NR30 3NG
Department for Transport,MCA,31/10/2014,Technical Training,Human Resources,HAMBLE SEA SCHOOL,594956,660,Redeployment Training,SO31 4HQ
Department for Transport,MCA,31/10/2014,Press And Monitoring,Office Of Chief Executive,KANTAR MEDIA INTELLIGENCE LTD,595016,2149.99,Fee For Sept 2014,WC1X 8HB
Department for Transport,MCA,31/10/2014,Press And Monitoring,Office Of Chief Executive,KANTAR MEDIA INTELLIGENCE LTD,595017,540,Fee For Sept 2014 X-Tracker,WC1X 8HB
Department for Transport,MCA,31/10/2014,Sundry Creditor,HM Coastguard,OCEAN FORCE MANAGEMENT LTD,594948,29219.18,Salvage Award Ss Cairnhill,W1D 4SN
Department for Transport,MCA,31/10/2014,Other Prosecution Costs,Office Of Chief Executive,SECTOR FORENSICS,594968,1495,#,SE20 8EF
Department for Transport,MCA,31/10/2014,Agency Staff,Office Of Chief Executive,SPRING TECHNOLOGY,594985,1199.88,W/E 05/10/14,EC4Y 8AX
Department for Transport,MCA,31/10/2014,Agency Staff,Office Of Chief Executive,SPRING TECHNOLOGY,594987,1199.88,W/E 21/09/14,EC4Y 8AX
Department for Transport,MCA,31/10/2014,Agency Staff,Office Of Chief Executive,SPRING TECHNOLOGY,595014,1199.88,W/E14/09/14,EC4Y 8AX
Department for Transport,MCA,31/10/2014,Agency Staff,Office Of Chief Executive,SPRING TECHNOLOGY,595015,1199.88,W/E 28/09/14,EC4Y 8AX
Department for Transport,MCA,31/10/2014,Other Consultancies,Shared Services,SYSTEMS UP,594983,1656,Support & Maintenance 15-16/09,SE1 8UL
Department for Transport,Passenger Focus,08/08/2014,Professional Fees,Smart Card Ticketing,Smartex Limited,PIN014809,2400,Professional Fees,CB9 7RL
Department for Transport,Passenger Focus,16/09/2014,Fixed Line Telecommunication,RESOURCES,BT Payment Services Ltd,PIN014725,102.94,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/09/2014,Fixed Line Telecommunication,RESOURCES,BT Payment Services Ltd,PIN014725,1190.91,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/09/2014,Fixed Line Telecommunication,CHIEF EXECS OFFICE,BT Payment Services Ltd,PIN014725,54.58,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/09/2014,Fixed Line Telecommunication,RESOURCES,BT Payment Services Ltd,PIN014725,105.67,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/09/2014,Fixed Line Telecommunication,Passenger Team,BT Payment Services Ltd,PIN014725,190.79,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/09/2014,Fixed Line Telecommunication,Passenger Issues,BT Payment Services Ltd,PIN014725,196.89,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,19/09/2014,Passenger Research,Research,BDRC Continental Ltd,PIN014735,4440,Passenger Research,WC1V 7DA            
Department for Transport,Passenger Focus,19/09/2014,Media Services,COMMUNICATIONS,PR Newswire Europe Limited,PIN014774,1800,Media Services,SW1 8NL
Department for Transport,Passenger Focus,25/09/2014,IT Maintenance & Developmen,Passenger Team,CommuniGator Ltd,PIN014736,840,IT Maintenance & Developmen,GU8 6BQ             
Department for Transport,Passenger Focus,26/09/2014,Passenger Research,Research,Illuminas,PIN014744,19500,Passenger Research,NW1 1BU             
Department for Transport,Passenger Focus,27/09/2014,Technical Advice,Passenger Issues,xxxxxx,PIN014767,3956.8,Technical Advice,xxxxxx
Department for Transport,Passenger Focus,30/09/2014,Passenger Research,Smart Card Ticketing,BDRC Continental Ltd,PIN014757,27180,Passenger Research,WC1V 7DA            
Department for Transport,Passenger Focus,30/09/2014,Passenger Research,Smart Card Ticketing,Illuminas,PIN014758,18216,Passenger Research,NW1 1BU             
Department for Transport,Passenger Focus,30/09/2014,Passenger Research,Research,BDRC Continental Ltd,PIN014760,141565.99,Passenger Research,WC1V 7DA            
Department for Transport,Passenger Focus,30/09/2014,Annual Report,COMMUNICATIONS,Williams Lea,PIN014765,1037.86,Annual Report,NR3 1PD
Department for Transport,Passenger Focus,30/09/2014,Press Cuttings,COMMUNICATIONS,Precise Media Monitoring,PIN014777,1389.08,Press Cuttings,EC2M 2QS            
Department for Transport,Passenger Focus,03/10/2014,Other IT Support,RESOURCES,SFW Limited,PIN014778,5049,Other IT Support,GU22 7UY            
Department for Transport,Passenger Focus,07/10/2014,Contingent Labour - Interim M,Roads,xxxxxx,PIN014769,4112.8,Contingent Labour - Interim M,xxxxxx
Department for Transport,Passenger Focus,08/10/2014,Passenger Research,Research,BDRC Continental Ltd,PIN014771,22614.4,Passenger Research,WC1V 7DA            
Department for Transport,Passenger Focus,09/10/2014,Contingent Labour - Interim M,Passenger Issues,Mike Bartram Limited,PIN014768,2016,Contingent Labour - Interim M,SW10 9AS            
Department for Transport,Passenger Focus,13/10/2014,Media Services,COMMUNICATIONS,Press Asociation Limited,PIN014781,2499.6,Media Services,DN14 7YH            
Department for Transport,Passenger Focus,13/10/2014,Rent,RESOURCES,Highways Agency,PIN014816,17663.28,Rent,B1 1RN              
Department for Transport,Passenger Focus,13/10/2014,Rates,RESOURCES,Highways Agency,PIN014816,3400.29,Rates,B1 1RN              
Department for Transport,Passenger Focus,13/10/2014,Rent,RESOURCES,Highways Agency,PIN014817,1287.38,Rent,B1 1RN              
Department for Transport,Passenger Focus,14/10/2014,Call Centre,Passenger Team,Ventrica Ltd,PIN014776,5107.93,Call Centre,SS1 2BB             
Department for Transport,Passenger Focus,14/10/2014,IT Equipment & Peripherals,RESOURCES,Telefonica UK Limited,PIN014783,380.74,IT Equipment & Peripherals,MK77 1UB            
Department for Transport,Passenger Focus,14/10/2014,IT Equipment & Peripherals,RESOURCES,Telefonica UK Limited,PIN014783,3028.42,IT Equipment & Peripherals,MK77 1UB            
Department for Transport,Passenger Focus,14/10/2014,Electricity,RESOURCES,Highways Agency,PIN014818,642.88,Electricity,B1 1RN              
Department for Transport,Passenger Focus,16/10/2014,IT Equipment & Peripherals,RESOURCES,Telefonica UK Limited,PIN014784,2691.94,IT Equipment & Peripherals,MK77 1UB            
Department for Transport,Passenger Focus,16/10/2014,Fixed Line Telecommunication,RESOURCES,BT Payment Services Ltd,PIN014796,103.25,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/10/2014,Fixed Line Telecommunication,RESOURCES,BT Payment Services Ltd,PIN014796,1130.02,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/10/2014,Fixed Line Telecommunication,CHIEF EXECS OFFICE,BT Payment Services Ltd,PIN014796,54.58,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/10/2014,Fixed Line Telecommunication,RESOURCES,BT Payment Services Ltd,PIN014796,111.31,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/10/2014,Fixed Line Telecommunication,Passenger Team,BT Payment Services Ltd,PIN014796,190.79,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,16/10/2014,Fixed Line Telecommunication,Passenger Issues,BT Payment Services Ltd,PIN014796,193.79,Fixed Line Telecommunication,DH98 1BT            
Department for Transport,Passenger Focus,23/10/2014,Health and safety,RESOURCES,Obelisk Technology Ltd,PIN014815,603.48,Health and safety,SG8 8PU
Department for Transport,Passenger Focus,27/10/2014,IT Equipment & Peripherals,Roads,Phoenix,PIN014813,4971.65,IT Equipment & Peripherals,WF17 9LU            
Department for Transport,Passenger Focus,27/10/2014,IT Equipment & Peripherals,Roads,Phoenix,PIN014813,151.41,IT Equipment & Peripherals,WF17 9LU            
Department for Transport,Passenger Focus,27/10/2014,IT Equipment & Peripherals,Roads,Phoenix,PIN014813,542.44,IT Equipment & Peripherals,WF17 9LU            
Department for Transport,Passenger Focus,27/10/2014,Other IT Support,Roads,Phoenix,PIN014813,660,Other IT Support,WF17 9LU            
Department for Transport,Passenger Focus,31/10/2014,Technical Advice,Passenger Team,xxxxxx,PIN014829,904,Technical Advice,xxxxxx
Department for Transport,DVSA,01/10/2014,Accommodation,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD (CIS),976970,517.2,"VOSAPO17573,High Pressure water jetting/vacuum removal of drainage systems. Interceptor clean & empty Disposal of effluent",PO15 5TT
Department for Transport,DVSA,01/10/2014,Accommodation,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD (CIS),976980,727.2,"VOSAPO17573,High Pressure water jetting/vacuum removal of drainage systems. Interceptor clean & empty Disposal of effluent",PO15 5TT
Department for Transport,DVSA,01/10/2014,Accommodation,Finance Estates and Performance,PHILL OWEN ELECTRICAL,976530,1223.88,REPLACEMENT OF TWO PETROL EXPLOSION-PROOF PIT LIGHTS AT HAVERFORDWEST GVTS,SA61 1NF
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,AM SUPPORT SERVICES LTD,977015,625.82,"VOSAPO18599,Monthly Cleaning Service at Kirkham GVTS",LA3 2UZ
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,COMPLETE FACILITIES NORTH EAST LIMITED,976997,1066,"VOSAPO17542,Monthly cleaning service at Newcastle GVTS",NE28 6UZ
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,COMPLETE FACILITIES NORTH EAST LIMITED,976997,108,"VOSAPO17542,Window cleaning service at Newcastle GVTS",NE28 6UZ
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,976987,1116.6,"VOSAPO11956,Northampton GVTS general cleaning monthly service",NN10 6EN
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,976987,62.4,"VOSAPO11962,Northampton GVTS internal window cleaning visit",NN10 6EN
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,976987,75.6,"VOSAPO16094,TWICE YEARLY EXTERNAL WINDOW CLEANING FOR STATION 32 NORTHAMPTON 2013",NN10 6EN
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,INTERSERVE FS(UK) LTD,976521,1060.2,DAILY CLEANING AND MAINTENANCE AT PLYMOUTH GVTS - 05/09/2014 TO 09/10/2014,DY1 4TA
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,WESTWAY CLEANING SERVICES,976986,1791.93,"VOSAPO18115,Daily Cleaning weekly Bristol GVTS",BS3 2DD
Department for Transport,DVSA,01/10/2014,Accommodation ,Finance Estates and Performance,WESTWAY CLEANING SERVICES,976986,145.2,"VOSAPO18115,Window Cleaning External 6 Weekly Bristol GVTS",BS3 2DD
Department for Transport,DVSA,01/10/2014,Capital Expenditure - Computer Hardware,Finance Estates and Performance,COMPUTACENTER UK LTD,976993,1113.77,"VOSAPO18497,MacBook Retina for MC2 Developer",AL10 9TW
Department for Transport,DVSA,01/10/2014,Capital Expenditure - Computer Hardware,Finance Estates and Performance,COMPUTACENTER UK LTD,976971,1031.37,"VOSAPO18513,Optoma ML750 DLP projector MOT Testing Team",AL10 9TW
Department for Transport,DVSA,01/10/2014,Capital Expenditure - Computer Hardware,Finance Estates and Performance,COMPUTACENTER UK LTD,976971,219.22,"VOSAPO18513,Shipping - line level",AL10 9TW
Department for Transport,DVSA,01/10/2014,Capital Expenditure - Computer Hardware,Finance Estates and Performance,COMPUTACENTER UK LTD,977004,1113.77,"VOSAPO18516,MacBook Pro for Defect Manager on MoT Mod programme",AL10 9TW
Department for Transport,DVSA,01/10/2014,Capital Expenditure - Computer Hardware,Finance Estates and Performance,COMPUTACENTER UK LTD,976975,1113.77,"VOSAPO18517,MacBook Pro Retina for Developer MC2 Team",AL10 9TW
Department for Transport,DVSA,01/10/2014,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,VEALE WASBROUGH VIZARDS LLP,976963,13500,ACQUISITION OF LAND AT ELMSWELL - COMPLETION STATEMENT,BS1 5WS
Department for Transport,DVSA,01/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,977007,56601.6,"VOSAPO18525,Support services 320 hours",SL6 1AD
Department for Transport,DVSA,01/10/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,976534,4970,MOT SUPPORT (LEEDS) /40aV,EC1A 4JQ
Department for Transport,DVSA,01/10/2014,Room Hire,Finance Estates and Performance,CHEW VALLEY HIRE LTD,976520,596.4,PORTABLE TOILET HIRE FOR TORMARTON - 31/08/2014 TO 28/09/2014,BS40 6NQ
Department for Transport,DVSA,01/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,BM AUTOTEKNIK,976964,35000,"VOSAPO17176,BM Monthly service charge for September 2014.  Contract number 016/005/1651.",#
Department for Transport,DVSA,01/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,GEMCO SERVICE LTD,976968,1607.72,"VOSAPO18182,Replacement cables on the 4 post lift at Lincoln Training.  Costs as per your quote 110574 dated 01/09/2014.",HX2 6JB
Department for Transport,DVSA,01/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,GEMCO SERVICE LTD,977011,9000,"VOSAPO18576,Contract No. 016/005/3241. Monthly maintenance charge September 2014.",HX2 6JB
Department for Transport,DVSA,01/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,VL TEST SYSTEMS LTD,976981,19500,"VOSAPO17799,Monthly maintenance charge for VLT. Equipment volumes of 36 RBTs and  2 WPDs for September 2014.",MK18 1WA
Department for Transport,DVSA,01/10/2014,Training,Human Resources,CAPITA BUSINESS SERVICES LTD,976556,888.78,Training,DL1 9HN
Department for Transport,DVSA,02/10/2014,Accommodation,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD (CIS),977287,1980,"VOSAPO16163,EMPTY SEPTIC TANK AT CUERDEN",PO15 5TT
Department for Transport,DVSA,02/10/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,977275,1467.6,"VOSAPO16198,Removal of Dead Leg and with aid of High Level Acess equipment inspect and clean CWST",GU15 3YY
Department for Transport,DVSA,02/10/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,977283,1515.6,"VOSAPO16262,Carry out a mains bypass of CWST 1.Install PRV ValveDeadleg on the sanimatic sanitary towel dispenser removed and cut back to point of distribution.",GU15 3YY
