Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,BMJV,644909,2238282.26,A14 J7-9 Kettering - bmJV Certificate 18 end Dec 14,GU15 3XW,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,644857,267136.16,IN PAYMENT OF CERT # 32,S1 2BQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,644946,2971799.17,Dec Fees Cert 15,S1 2BQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,644942,124756.25,A19 Testos. Invoice certificate 67- professional fees up to end of Dec 14. received 17.12.2014,SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EM HIGHWAY SERVICES LTD,644912,2043.98,Apps and Certs Receipt - APC84154,M2 5JB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD249644,849.4,HAL00011776/xxxxxxx/91346484,B3 3AL,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD249645,8425.3,HAL00010776/xxxxxxx/91343248,B3 3AL,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,FAITHFUL & GOULD,644922,32323.47,Inv No 14040739 dated 12/12/14. M1 J39 to 42 ALR. F&G costs November 2014,WR5 1TX,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,FAITHFUL & GOULD,644923,24776.06,Inv No 14041918 dated 18/12/14. M1 J39 to 42 ALR. F&G costs December 2014,WR5 1TX,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,644798,11183.17,A63 Castle Street. Invoice for professional fees up to end Oct 14. Received 12/12/2014,GU2 7AR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,644800,8681.76,A63 Castle Street. Invoice for professional fees up to end Nov 14. received 12/12/2014,GU2 7AR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,644827,3634.95,LOT 1 Lean Function - Inv Nr: 1842 Inv Date: 17 Dec 14 Professional fees up to 28 Nov 14,GU2 7AR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,644858,879365.64,Lower Thames Crossing Options and Traffic Modelling invoice 1849,GU2 7AR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,644944,39392.15,IN PAYMENT OF INVOICE DATED 12/12/2014,GU2 7AR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,M4C,644937,83030.11,IN PAYMENT OF INV # A67509 (RADIO AD COSTS M25 SEC 5),WC1R 4HQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,M4C,644938,8797.53,IN PAYMENT OF INV # A67508 (RADIO AD COSTS M25 SEC 5),WC1R 4HQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD GRONTMIJ JOINT VENTURE,644784,5839.15,Inv Nr:MMGV/PO1322/006 Inv Date: 18 Dec 2014 - Period to end of Nov 2014,SO50 9NW,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD GRONTMIJ JOINT VENTURE,644842,55199.25,A63 Castle Street work carried out to end of November 2014. Invoice MMGV/A63/030,SO50 9NW,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,644859,182615.39,"Northern Scheme , main payment - PE Novemeber 2014",L3 1ES,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,NORTHERN POWERGRID (YORKSHIRE) PLC (CIS) DIVERT/CONNECT,644814,71818.5,A160/A180 Immingham Improvement Scheme - Invoice No. YD20204018 - Received 10/12/14,DH4 7LA,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,PARSONS BRINCKERHOFF LIMITED,644943,6117.08,A19 Testos. Invoice for professional services up to 28 Nov 14. received 17.12.2014.,NE4 7YQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,PINSENT MASONS LLP,644880,202362,Invoice to cover period 1 October to 31 October 2014,EC2A 4ES,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,PLANNING INSPECTORATE,PWI/199057492,4500,A14 CAMBS TO HUNTS PINS DCO APPLICATION PAYMENT,BS1 6PN,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR NORTHAMPTONSHIRE,644823,27916.67,M1 J19-16 TTRO - PE December 2014,CW7 9FW,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD235568,1347,HAL00011327//25000105752014,GL4 7RT,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD235626,544,HAL00011330/xxxxxxx/25000105772014,GL4 7RT,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD235631,1576,HAL00011335//25000105762014,GL4 7RT,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VENN GROUP LIMITED,644910,1780.58,"Payment for invoices 994561,3000257, 30002528, 3006793",WC2R 0AA,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,644806,1920,"Inv 64211288, Dtd 11/12/2014, A19/A1058 Coast Road WSP, TBF.",RG21 4HJ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,644808,26480.75,"Inv 64211279, Dtd 11/12/2014,a19/a1058 Coast Road, WSP, TBF.",RG21 4HJ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,644904,605162.76,Apps and Certs Receipt - APC84163,MK41 7LW,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,644941,23363.63,Apps and Certs Receipt - APC84405,OX4 4DQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,644883,8107.11,Atkins December 14 18/12/2014,BS32 4SY,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATOS IT SERVICES UK LIMITED,644945,26397.82,C5252171 - DFFC Quinton team Move,WV10 6UH,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AUTOLINK CONCESSIONAIRES (A19) LIMITED,644882,36875,"Parkway PPP - Autolink Management Fee - Inv.806, Date 09/12/2014",TS23 1PX,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AUTOLINK CONCESSIONAIRES (A19) LIMITED,644885,31364,Wolviston PPP - Autolink Management Fees - Inv.,TS23 1PX,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AUTOLINK CONCESSIONAIRES (A19) LIMITED,644887,38119,"Hylton Grange PPP, Autolink Management Fees - Inv.807.Date 09/12/2014",TS23 1PX,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644752,8194.28,Apps and Certs Receipt - APC84221,BS32 4SR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644752,6639.33,Apps and Certs Receipt - APC84221,BS32 4SR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644752,4819.51,Apps and Certs Receipt - APC84221,BS32 4SR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644752,129757.29,Apps and Certs Receipt - APC84221,BS32 4SR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644752,8531.09,Apps and Certs Receipt - APC84221,BS32 4SR,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644769,100250,"Hylton Grange PPP - Costain Construction Fees - RI 23651, Date 10/12/2014 - error corrected",SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644772,765128,"Hylton Grange PPP - Costain Construction Costs - Cert 4, Date 30/09/2014",SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644888,191901,"Parkway PPP - Costain Construction Fees, Inv Cert 7, Date 31/12/2014",SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644893,130000,"Hylton Grange PPP - Costain Construstion Fees, Inv. Cert 7, Date 31/12/2014",SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644914,6327,Apps and Certs Receipt - APC84389,SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644915,394412.29,Apps and Certs Receipt - APC84389,SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,644918,335063.07,Apps and Certs Receipt - APC84391,SL6 4UB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,644949,167994.74,Apps and Certs Receipt - APC84151,M2 5JB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,644949,13436.25,Apps and Certs Receipt - APC84151,M2 5JB,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE CONSTRUCTION LIMITED,644765,282927,"Wolviston PPP - Interserve Construction costs - Cert 6, Date 30/10/2014 - correction",B23 7RZ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE CONSTRUCTION LIMITED,644766,289500,"Wolviston PPP - Interserve Construction Costs - Cert 7, date 30/11/2014 - error corrected",B23 7RZ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE CONSTRUCTION LIMITED,644891,91045,"Wolviston PPP- Interserve Construction Costs - Inv Cert 8, date 31/12/2014",B23 7RZ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE CONSTRUCTION LIMITED,644916,18151.67,Apps and Certs Receipt - APC84390,B23 7RZ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,REDFLEX TRAFFIC SYSTEMS LIMITED,644884,88046,#,SO30 3FQ,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,STAFFORDSHIRE COUNTY COUNCIL,644773,377489.8,Invoice 8005077072,ST16 2DH,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,STAFFORDSHIRE COUNTY COUNCIL,644774,83736.48,Invoice 8005077073,ST16 2DH,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,STAFFORDSHIRE COUNTY COUNCIL,644775,61282.44,Invoice 8005077074,ST16 2DH,
Department For Transport,Highways Agency,18/12/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,VEALE WASBROUGH VIZARDS,LOMD249643,22711,00013070/xxxxxxx,BS1 5WS,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,644900,4018057.56,Apps and Certs Receipt - APC84162,MK41 7LW,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,644904,747962.69,Apps and Certs Receipt - APC84163,MK41 7LW,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,644857,249940.69,IN PAYMENT OF CERT # 32,S1 2BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,644947,203111,Fees Dec Cert 15,S1 2BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644848,2393.87,Apps and Certs Receipt - APC84352,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644850,1789865.33,Apps and Certs Receipt - APC84351,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644851,770181.57,Apps and Certs Receipt - APC84344,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644852,99819.19,Apps and Certs Receipt - APC84274,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644860,12498.91,Apps and Certs Receipt - APC84356,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644861,102516.35,Apps and Certs Receipt - APC84354,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE TARMAC TRADING LIMITED,644862,197172.58,Apps and Certs Receipt - APC84348,B37 7BQ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,644900,79833.15,Apps and Certs Receipt - APC84162,MK41 7LW,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,644904,383746.06,Apps and Certs Receipt - APC84163,MK41 7LW,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,644911,480.06,Apps and Certs Receipt - APC84152,M2 5JB,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE CONSTRUCTION LIMITED,644913,6388.4,Apps and Certs Receipt - APC84386,B23 7RZ,
Department For Transport,Highways Agency,18/12/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,NETWORK RAIL,644742,37223.32,For invoice 1162067,B1 1RT,
Department For Transport,Highways Agency,18/12/2014,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,644820,176391.5,#,RG24 8WZ,
Department For Transport,Highways Agency,18/12/2014,TOS operational Vehicle consumables,CUSTOMER OPERATIONS,PRO-TECT SAFETY SIGNS,644744,523.44,Strensham protect invoice 29878 - #436.20,BS24 6TA,
Department For Transport,Highways Agency,18/12/2014,TOS operational Vehicle rental,CUSTOMER OPERATIONS,LEX AUTOLEASE LIMITED,644925,252831.83,"562987RR1214 November recharges 2014 reg DU63 @1,190.73, DX12 @ 1,029.54, SG62 @ 824.3, WX13 @ 1.033.48, BJ63 @ 900.65, BX64 @738.2 and KW14 @957.4",BL9 8RT,
Department For Transport,Highways Agency,18/12/2014,Training equipment and aids,CUSTOMER OPERATIONS,LEX AUTOLEASE LIMITED,644925,16500,"562987RR1214 November recharges 2014 reg DU63 @1,190.73, DX12 @ 1,029.54, SG62 @ 824.3, WX13 @ 1.033.48, BJ63 @ 900.65, BX64 @738.2 and KW14 @957.4",BL9 8RT,
Department For Transport,Highways Agency,18/12/2014,Water and sewerage,FINANCE & BUSINESS SERVICES,SEVERN TRENT WATER LTD (NON CIS) WATER USAGE,633686,547.95,"WMRCC water july, august, sept, oct 14, November, December",B3 1SE,
Department For Transport,Highways Agency,18/12/2014,WM - Winter Maintenance,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,644912,40754.77,Apps and Certs Receipt - APC84154,M2 5JB,
Department For Transport,Highways Agency,19/12/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,645058,618.7,For invoice Inv-11492,CR7 7XA,
Department For Transport,Highways Agency,19/12/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,645078,597.56,for invoice inv-11493,CR7 7XA,
Department For Transport,Highways Agency,19/12/2014,CM - Compounds Maintenance,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,4562.12,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644984,849746.98,Apps and Certs Receipt - APC84266,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644959,804.83,Apps and Certs Receipt - APC84211,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),640237,-50343.34,Apps and Certs Receipt - APC80063,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,253190.18,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,CM - Tunnel Maintenance,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,818.02,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,COMMERCIAL & PROCUREMENT,PA CONSULTING SERVICES LTD,642991,-2165,est for Nov,SG8 6DP,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,COMMERCIAL & PROCUREMENT,PA CONSULTING SERVICES LTD,644976,8790,August bill,SG8 6DP,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,COMMERCIAL & PROCUREMENT,ROWSELL WRIGHT LIMITED,644966,9860,Technical Consultancy Support for TMTF2 - December invoice,HG3 2ER,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,COMMERCIAL & PROCUREMENT,ROWSELL WRIGHT LIMITED,645001,1750,works completed in December 2014,HG3 2ER,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,CUSTOMER OPERATIONS,ELECTROSONIC LTD,644998,1774.5,INV105744,DA2 7SY,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,CUSTOMER OPERATIONS,LEX AUTOLEASE LIMITED,644994,1675.38,562987ADR1214 - Monthly Ad-Hoc for November 2014,BL9 8RT,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),631805,-7694.28,Apps and Certs Receipt - APC71987,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),633605,-5155.16,Apps and Certs Receipt - APC72957,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644985,13086.44,Apps and Certs Receipt - APC84255,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,7668.29,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,25309.61,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,4679.04,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,17009.95,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,126405.34,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,71262.44,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,637.98,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),644986,13807.75,Apps and Certs Receipt - APC84263,DL1 1TJ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,644968,5081,219(4/45/12)ATK December 2014 xxxxxxx,BS32 4SY,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,636046,-29.46,Apps and Certs Receipt - APC76044,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644953,78.57,Apps and Certs Receipt - APC84385,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644953,8056.99,Apps and Certs Receipt - APC84385,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644953,504823.58,Apps and Certs Receipt - APC84385,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644959,6501.1,Apps and Certs Receipt - APC84211,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,644959,26584.86,Apps and Certs Receipt - APC84211,BS32 4SR,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BLOM AEROFILMS LIMITED,645025,65003,SPSF4004 December 2014 xxxxxxx,BS27 3EB,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION T/A CARILLION RAIL,644992,20360.99,Year 2 East Certificate No 9 (2013-2014),CR9 0AU,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,644534,48.36,Apps and Certs Receipt - APC84073,M2 5JB,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,645083,8275.67,"CACS IAM IS Contract, November 2014,xxxxxxx",GL1 2NS,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,645084,39912.37,"CACS Programme Management 1019, November 2014, xxxxxxx",GL1 2NS,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,645086,1794.88,"CACS Asset Management Specialists, November 2014, xxxxxxx",GL1 2NS,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,645094,24000,"Task 1017, xxxxxxx, December 2014",GL1 2NS,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,644965,10856,370(4/45/12)ARPS December 2014 ,NE1 3PL,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PARSONS BRINCKERHOFF LIMITED,645038,831.19,Professional fees pain gain 18 December 2014,NE4 7YQ,
Department For Transport,Highways Agency,19/12/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,645015,68793.6,SPS1012 December 2014 xxxxxxx,RG21 7PP,
