Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION T/A CARILLION RAIL,625298,15904.85,North Area Year 2 Certificate No 7,CR9 0AU
Department For Transport,Highways Agency,26/03/2014,Prepaid expenses - programme,FINANCE & BUSINESS SERVICES,WAKEFIELD COUNCIL,625357,108450,NE RCC Business rates 14/15,WF10 4JH
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,TRAFFIC MANAGEMENT DIRECTORATE,PEEKMOUCHEL,625367,47143.7,NDD E TechMAC - NTIS Legacy Faults - ANPR & Loops 13/14 PIN 537073 - Feb 14,AL2 2DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,625304,6000,MSR Invoice March 2014,NE1 3PL
Department For Transport,Highways Agency,26/03/2014,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,625370,5899.28,MOUCHEL 5000027996 SE REGIONAL ENFORCEMENT COORDINATOR TO FEBRUARY 2014,OL1 9LH
Department For Transport,Highways Agency,26/03/2014,Call costs - Mobile phones,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625317,23000,Mobile Telephony Charges March 2014,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,Rentals/Hire of office equipment under operating lease,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,625291,25999.47,MFD licence and software March 14,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,625414,8753,Mar-14,KT18 5BW
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,625401,7020,Mar-14,NE1 3PL
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,COMPUTACENTER (UK) LTD,625301,41278.08,Mar-14,AL10 9TW
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,625365,173351.53,M1 J28-31 Early Mobilisation Certifcate 6 February 2014,SL6 4UB
Department For Transport,Highways Agency,26/03/2014,Professional advisers - Accommodation,FINANCE & BUSINESS SERVICES,BLAKE LAPTHORN,625345,1500,Licence to occupy - Site at Aveley inv 932204 prof fees,PO6 4ST
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,KIER MG LIMITED,625404,7417.47,KLM/63RWN Masonry Repairs,NR14 8SZ
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,PARSONS BRINCKERHOFF LIMITED,625356,53210.44,Jan 14 fees. Ref 3511127L-MCS,NE4 7YQ
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,625292,1440.09,IPT089 MIDAS Gold servers - March '14,BA1 5LR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,625269,3800,IPT Roll Out March 2014,RG24 8WZ
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,625268,9888,IPT Roll Out March 2014,CR0 2EE
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,SERCO LTD,625270,1511,IPT Roll Out March 2014,RG27 7FR
Department For Transport,Highways Agency,26/03/2014,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,NCC SERVICES LTD,625287,1175,Invoice Number E862508 dated 07/03/14,M1 7ED
Department For Transport,Highways Agency,26/03/2014,Non Civil Servant HA Staff,STRATEGY & PLANNING DIR,CAPITA GROUP,625274,9672,"invoice nos:wn 4014232 - net 8,060.00 - from 9 feb - 2 march ",DL1 9HN
Department For Transport,Highways Agency,26/03/2014,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,625351,2451.6,Invoice No. R23750/00 dated 19/03/14 for w/e 16/3/14,B37 7YE
Department For Transport,Highways Agency,26/03/2014,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,BRITISH TELECOM PLC (NON CIS) CHARGES,625348,3352.65,Invoice No VP85571270Q04101WA dated 16/03/14,DH98 1BT
Department For Transport,Highways Agency,26/03/2014,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,THE POLICE AND CRIME COMMISSIONER FOR NOTTINGHAMSHIRE,625350,10303.36,Invoice No 10019365 dated 06/03/14 for period Feb 14,NG2 1RX
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,625374,58860.14,Invoice for the CHERP -  Period Ending February 2014,OL1 9LH
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,625349,3234,Invoice for NOMS work March 2014,GU2 7AR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,E C HARRIS LLP,625409,3769.83,Invoice Date: 19/03/2014 With VAT: #4130.42 Without VAT: #3442.02,M60 3NT
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,BMJV,625384,270896.53,Invoice BMJV-00080,LS27 0NQ
Department For Transport,Highways Agency,26/03/2014,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT A30/A35 LTD,625316,38002.99,Invoice 30-35.0932 dated 03-02-2014,NW1 3AX
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,625377,10439.13,Inv No 5839995 Inv Date 25/3/14 A38 Derby Jcts Traffic Advance Copy,RG21 7PP
Department For Transport,Highways Agency,26/03/2014,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625305,60723.94,ICT Service Related Charges 13/14 March 14,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,KIER MG LIMITED,625405,4232.52,HLW/61 Gate repairs,NR14 8SZ
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,625410,15870.77,HHJV Fees for March 14,GU2 7AR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,625411,1231.43,HHJV Fees for March 14,GU2 7AR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,625412,1809.75,HHJV Fees for March 14,GU2 7AR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,625413,1561.41,HHJV Fees for March 14,GU2 7AR
Department For Transport,Highways Agency,26/03/2014,Electricity,FINANCE & BUSINESS SERVICES,SOUTHERN ELECTRIC (NON CIS) CHARGES,625393,1478.63,Heston deport electricity jan 14 inv 931421914/0053 based on statement of account,RG21 8WS
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,620901,7497.38,HATMS IPT093 MIDAS replay - playback func March '14,BA1 5LR
Department For Transport,Highways Agency,26/03/2014,Other external training costs,NETWORK DELIVERY & DEVELOPMENT,HM REVENUE & CUSTOMS (HMRC),625423,2460,GORS ANNUAL SUBSCRIPTIONS 2014-15,BN12 4XH
Department For Transport,Highways Agency,26/03/2014,Call costs - GTN,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625315,55573.51,Fixed Telephony Charges March 2014,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - ICT Admin,FINANCE & BUSINESS SERVICES,BLAKE LAPTHORN,625341,4234,Fed house sale and car park surrender prof advice inv 928113,PO6 4ST
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,625417,20926.05,February Invoice 30 - #20926.05,KT18 5BW
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,622649,-2107.92,February '14 work,BA1 5LR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,PARSONS BRINCKERHOFF LIMITED,625358,44705.02,Feb 14 fees. Ref 3511127L-MCS,NE4 7YQ
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GAI-TRONICS,625299,25000,ERT Maintenance with GTL,DE13 0BZ
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,625392,2200,EMTM 13-141-50 M69VMS,RG24 8WZ
Department For Transport,Highways Agency,26/03/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,610442,945,East Essential Maintenance - September 2012,AL2 2DQ
Department For Transport,Highways Agency,26/03/2014,Non Civil Servant HA Staff,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,625389,19772.16,Delivery HUB Agency Admin Costs (xxxxxx) - Email / Inv Rec'd 22 March 14 - Period Ending Feb 14,SL6 4UB
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,625415,34825.62,"December and January Invoices No 29 - #34,825.62",KT18 5BW
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,625290,54141.82,Dec 13 & Jan 14 fees. Invoice PO1242,RG21 7PP
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - ICT Admin,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625300,9000,CRF C5127248 Accrual estimate for work in Febraury and March 2014,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,ICT Consumables,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625321,15231.91,Consumables March 2014 spend.,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625277,22487.77,Chubb Standing Charge March 2013 #22487.77,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625285,11142.83,Chubb IET268 WM CCTV Monitor Replacement #11142.83,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625284,7143,Chubb IET267 TVBS Woif Refresh WM #7143,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625283,5524,Chubb IET266 TVBS Woif Refresh SW #5524,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625282,7310,Chubb IET265 TVBS Woif Refresh SE #7310,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625280,7309.78,Chubb IET263 TVBS Woif Refresh NE #7309.78,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625279,18839.13,"Chubb IET262 TVBS Engineers Log-in #18,839.13",BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625278,20915.61,Chubb IET261 Fixed Intelligent Camera Icons March 2013 #20915.61,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,625281,7310,Chubb IET 264 TVBS Woif Refresh E #7310,BB1 2PR
Department For Transport,Highways Agency,26/03/2014,ICT Hardware Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625322,2200,Chargeable Incidents & Equipment March 2014 spend,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BRITISH TELECOM PLC (NON CIS) CHARGES,625271,2031.88,cc3165 BT charges for VP51361270 Jan to Apr 14,DH98 1BT
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BRITISH TELECOM PLC (NON CIS) CHARGES,625347,17611.44,cc3165 BT Charge for 38272270AC01 Jan to Apr 14,DH98 1BT
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,625275,14000,Building Cap in Sustainability March receipt,NE11 0RU
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - ICT Admin,FINANCE & BUSINESS SERVICES,BLAKE LAPTHORN,625338,1923.5,Bridge house lease prof charges inv 935423 30/01/2014,PO6 4ST
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - ICT Admin,FINANCE & BUSINESS SERVICES,BLAKE LAPTHORN,625339,2074,Bridge House lease legal work inv 940754,PO6 4ST
Department For Transport,Highways Agency,26/03/2014,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,625319,22000,Blackberry Core Service & Support Costs March 2014,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,KPMG LLP,625419,12316,"Area 6,8 and techMAC East Invoice 5500826486",WD17 1DE
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,KPMG LLP,625418,21007,Area 6 & 8 Mob Invoice 5500826485,WD17 1DE
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,KPMG LLP,625421,2805,Area 3 Pain/Gain Invoice 5500826488,WD17 1DE
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,KPMG LLP,625422,2535,Area 3 Invoice 5500826489,WD17 1DE
Department For Transport,Highways Agency,26/03/2014,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,624781,200.22,Apps Service Bundle March 2014 spend,WV10 6UH
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,625354,5337.08,Apps and Certs Receipt - APC65791,WV1 4HY
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625302,236724.3,Apps and Certs Receipt - APC65732,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625310,3671216.11,Apps and Certs Receipt - APC65711,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625312,36267.86,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625311,94242.61,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625312,221838.51,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625312,7472.52,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625311,496.61,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625311,53083.73,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,625312,309011.07,Apps and Certs Receipt - APC65591,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625364,234813.43,Apps and Certs Receipt - APC65389,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625364,8022.17,Apps and Certs Receipt - APC65389,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625297,30431.02,Apps and Certs Receipt - APC65364,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625297,37882.27,Apps and Certs Receipt - APC65364,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625297,41133.61,Apps and Certs Receipt - APC65364,M2 5JB
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625297,1269.43,Apps and Certs Receipt - APC65364,M2 5JB
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625297,7724.64,Apps and Certs Receipt - APC65364,M2 5JB
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625360,216553.73,Apps and Certs Receipt - APC65265,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625293,29151.24,Apps and Certs Receipt - APC65263,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625293,430881.48,Apps and Certs Receipt - APC65263,M2 5JB
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,EM HIGHWAY SERVICES LTD,625293,2122.04,Apps and Certs Receipt - APC65263,M2 5JB
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EM HIGHWAY SERVICES LTD,625293,22028.79,Apps and Certs Receipt - APC65263,M2 5JB
Department For Transport,Highways Agency,26/03/2014,WM - Winter Maintenance,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,625293,40754.77,Apps and Certs Receipt - APC65263,M2 5JB
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625361,997.98,Apps and Certs Receipt - APC65249,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625362,4017.57,Apps and Certs Receipt - APC65248,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625363,9245.51,Apps and Certs Receipt - APC65247,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,625363,633.87,Apps and Certs Receipt - APC65247,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,TRAFFIC MANAGEMENT DIRECTORATE,AMEY LG LIMITED,625363,46.15,Apps and Certs Receipt - APC65247,OX4 4DQ
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,622571,-1400.24,Apps and Certs Receipt - APC63735,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,622571,-1726.93,Apps and Certs Receipt - APC63735,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,618508,-3061.58,Apps and Certs Receipt - APC60471,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,615842,-3267.41,Apps and Certs Receipt - APC58167,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,615839,-18912.12,Apps and Certs Receipt - APC58164,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,613755,-9674.75,Apps and Certs Receipt - APC56643,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,612970,-7158.02,Apps and Certs Receipt - APC55767,M2 5JB
Department For Transport,Highways Agency,26/03/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,611992,-2616.73,Apps and Certs Receipt - APC53965,BS32 4SR
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,611460,-1076.04,Apps and Certs Receipt - APC52788,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,610196,-1076.04,Apps and Certs Receipt - APC51435,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,608106,-1076.04,Apps and Certs Receipt - APC49675,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,605667,-1076.04,Apps and Certs Receipt - APC48161,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,603440,-1076.04,Apps and Certs Receipt - APC45860,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,541951,-5861.35,Apps and Certs Receipt - APC41159,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,540050,-1076.04,Apps and Certs Receipt - APC39280,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,533922,-1076.04,Apps and Certs Receipt - APC33062,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,532180,-1076.04,Apps and Certs Receipt - APC29426,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,528915,-6447.51,Apps and Certs Receipt - APC25078,M2 5JB
Department For Transport,Highways Agency,26/03/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,HERTFORDSHIRE COUNTY COUNCIL,625385,578,Accident Data for Jul-Sep 2013,SG13 7XP
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,625391,2200,A46 Newark VMS 13-140-50,RG24 8WZ
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR NORTHAMPTONSHIRE,625394,35772.86,A14 Kettering - Northants Police Invoice 9342006581,CW7 9FW
Department For Transport,Highways Agency,26/03/2014,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,MOUCHEL LIMITED,625425,36549.44,90159659,OL1 9LH
Department For Transport,Highways Agency,26/03/2014,File storage and distribution services,FINANCE & BUSINESS SERVICES,TNT (UK) LIMITED,625296,3059.09,127613,M1 3LF
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK DELIVERY & DEVELOPMENT,KPMG LLP,625416,20421,#,WD17 1DE
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,625276,4116.31,#,NE11 0RU
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,MOUCHEL LIMITED,625382,5313.07,#,OL1 9LH
Department For Transport,Highways Agency,26/03/2014,Consultants Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,625346,7621,#,NE1 3PL
Department For Transport,Highways Agency,26/03/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246502,943.65,HAL55555542//34003137,PE1 1QF
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,625308,6135.46,#,SL6 4UB
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,625324,753640.54,#,SL6 4UB
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD246487,1205.2,HAL00000665//91269431,CF10 5BT
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD246488,766.6,HAL00005175//91269430,CF10 5BT
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD246500,720,00011644/xxxxxx/,CF10 5BT
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD246501,469349,00012771/xxxxxx/,CF10 5BT
Department For Transport,Highways Agency,26/03/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD243704,510.98,HAL00012853//25000167692013,SW19 4DT
